#	 mag	 abs_mag	 b.c.
-0.989583	0.989583	1
-0.989583	0.989583	1
0.989583	0.989583	1
0.989583	0.989583	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-0.989583	0.989583	1
-0.989583	0.989583	1
1	1	1
1	1	1
-1	1	1
-1	1	1
0.989583	0.989583	1
0.989583	0.989583	1
-0.979167	0.979167	1
-0.979167	0.979167	1
0.979167	0.979167	1
0.979167	0.979167	1
-1	1	1
-1	1	1
0.989583	0.989583	1
0.989583	0.989583	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-0.989583	0.989583	1
-0.989583	0.989583	1
1	1	1
1	1	1
-0.979167	0.979167	1
-0.979167	0.979167	1
0.989583	0.989583	1
0.989583	0.989583	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-1	1	1
-1	1	1
0.989583	0.989583	1
0.989583	0.989583	1
-1	1	1
-1	1	1
0.989583	0.989583	1
0.989583	0.989583	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-0.96875	0.96875	1
-0.96875	0.96875	1
1	1	1
1	1	1
-0.989583	0.989583	1
-0.989583	0.989583	1
1	1	1
1	1	1
-0.989583	0.989583	1
-0.989583	0.989583	1
0.989583	0.989583	1
0.989583	0.989583	1
-1	1	1
-1	1	1
0.989583	0.989583	1
0.989583	0.989583	1
-1	1	1
-1	1	1
0.96875	0.96875	1
0.96875	0.96875	1
-1	1	1
-1	1	1
0.979167	0.979167	1
0.979167	0.979167	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-0.989583	0.989583	1
-0.989583	0.989583	1
0.989583	0.989583	1
0.989583	0.989583	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-0.989583	0.989583	1
-0.989583	0.989583	1
0.989583	0.989583	1
0.989583	0.989583	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-1	1	1
-1	1	1
0.989583	0.989583	1
0.989583	0.989583	1
-0.979167	0.979167	1
-0.979167	0.979167	1
0.989583	0.989583	1
0.989583	0.989583	1
-1	1	1
-1	1	1
0.989583	0.989583	1
0.989583	0.989583	1
-1	1	1
-1	1	1
0.989583	0.989583	1
0.989583	0.989583	1
-0.96875	0.96875	1
-0.96875	0.96875	1
0.979167	0.979167	1
0.979167	0.979167	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-1	1	1
-1	1	1
0.96875	0.96875	1
0.96875	0.96875	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-0.989583	0.989583	1
-0.989583	0.989583	1
0.989583	0.989583	1
0.989583	0.989583	1
-0.989583	0.989583	1
-0.989583	0.989583	1
1	1	1
1	1	1
-0.989583	0.989583	1
-0.989583	0.989583	1
0.989583	0.989583	1
0.989583	0.989583	1
-0.989583	0.989583	1
-0.989583	0.989583	1
1	1	1
1	1	1
-0.989583	0.989583	1
-0.989583	0.989583	1
0.979167	0.979167	1
0.979167	0.979167	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-0.989583	0.989583	1
-0.989583	0.989583	1
1	1	1
1	1	1
-1	1	1
-1	1	1
0.989583	0.989583	1
0.989583	0.989583	1
-0.989583	0.989583	1
-0.989583	0.989583	1
1	1	1
1	1	1
-0.979167	0.979167	1
-0.979167	0.979167	1
1	1	1
1	1	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-0.989583	0.989583	1
-0.989583	0.989583	1
1	1	1
1	1	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-0.989583	0.989583	1
-0.989583	0.989583	1
1	1	1
1	1	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-0.979167	0.979167	1
-0.979167	0.979167	1
0.989583	0.989583	1
0.989583	0.989583	1
-0.989583	0.989583	1
-0.989583	0.989583	1
0.979167	0.979167	1
0.979167	0.979167	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-0.979167	0.979167	1
-0.979167	0.979167	1
1	1	1
1	1	1
-0.989583	0.989583	1
-0.989583	0.989583	1
1	1	1
1	1	1
-1	1	1
-1	1	1
0.989583	0.989583	1
0.989583	0.989583	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-1	1	1
-1	1	1
0.989583	0.989583	1
0.989583	0.989583	1
-0.989583	0.989583	1
-0.989583	0.989583	1
0.989583	0.989583	1
0.989583	0.989583	1
-1	1	1
-1	1	1
0.979167	0.979167	1
0.979167	0.979167	1
-1	1	1
-1	1	1
0.989583	0.989583	1
0.989583	0.989583	1
-0.989583	0.989583	1
-0.989583	0.989583	1
0.989583	0.989583	1
0.989583	0.989583	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-0.989583	0.989583	1
-0.989583	0.989583	1
1	1	1
1	1	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-1	1	1
-1	1	1
0.989583	0.989583	1
0.989583	0.989583	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-1	1	1
-1	1	1
0.979167	0.979167	1
0.979167	0.979167	1
-0.989583	0.989583	1
-0.989583	0.989583	1
1	1	1
1	1	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-0.989583	0.989583	1
-0.989583	0.989583	1
1	1	1
1	1	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-1	1	1
-1	1	1
0.989583	0.989583	1
0.989583	0.989583	1
-0.989583	0.989583	1
-0.989583	0.989583	1
0.989583	0.989583	1
0.989583	0.989583	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-0.989583	0.989583	1
-0.989583	0.989583	1
0.989583	0.989583	1
0.989583	0.989583	1
-0.989583	0.989583	1
-0.989583	0.989583	1
1	1	1
1	1	1
-1	1	1
-1	1	1
0.979167	0.979167	1
0.979167	0.979167	1
-1	1	1
-1	1	1
0.989583	0.989583	1
0.989583	0.989583	1
-0.989583	0.989583	1
-0.989583	0.989583	1
0.989583	0.989583	1
0.989583	0.989583	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-0.989583	0.989583	1
-0.989583	0.989583	1
1	1	1
1	1	1
-1	1	1
-1	1	1
0.979167	0.979167	1
0.979167	0.979167	1
-0.989583	0.989583	1
-0.989583	0.989583	1
0.989583	0.989583	1
0.989583	0.989583	1
-1	1	1
-1	1	1
0.989583	0.989583	1
0.989583	0.989583	1
-0.989583	0.989583	1
-0.989583	0.989583	1
1	1	1
1	1	1
-0.979167	0.979167	1
-0.979167	0.979167	1
-0.989583	0.989583	1
-0.989583	0.989583	1
0.989583	0.989583	1
0.989583	0.989583	1
-0.989583	0.989583	1
-0.989583	0.989583	1
1	1	1
1	1	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-0.989583	0.989583	1
-0.989583	0.989583	1
1	1	1
1	1	1
-0.979167	0.979167	1
-0.979167	0.979167	1
0.979167	0.979167	1
0.979167	0.979167	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-0.989583	0.989583	1
-0.989583	0.989583	1
0.979167	0.979167	1
0.979167	0.979167	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-0.979167	0.979167	1
-0.979167	0.979167	1
1	1	1
1	1	1
-0.989583	0.989583	1
-0.989583	0.989583	1
1	1	1
1	1	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-1	1	1
-1	1	1
0.989583	0.989583	1
0.989583	0.989583	1
-1	1	1
-1	1	1
0.989583	0.989583	1
0.989583	0.989583	1
-0.979167	0.979167	1
-0.979167	0.979167	1
1	1	1
1	1	1
-0.989583	0.989583	1
-0.989583	0.989583	1
1	1	1
1	1	1
-0.989583	0.989583	1
-0.989583	0.989583	1
1	1	1
1	1	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-0.989583	0.989583	1
-0.989583	0.989583	1
0.989583	0.989583	1
0.989583	0.989583	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-1	1	1
-1	1	1
0.989583	0.989583	1
0.989583	0.989583	1
-0.989583	0.989583	1
-0.989583	0.989583	1
1	1	1
1	1	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-0.989583	0.989583	1
-0.989583	0.989583	1
1	1	1
1	1	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-1	1	1
-1	1	1
0.979167	0.979167	1
0.979167	0.979167	1
-0.989583	0.989583	1
-0.989583	0.989583	1
1	1	1
1	1	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-1	1	1
-1	1	1
0.989583	0.989583	1
0.989583	0.989583	1
-0.989583	0.989583	1
-0.989583	0.989583	1
1	1	1
1	1	1
-0.989583	0.989583	1
-0.989583	0.989583	1
1	1	1
1	1	1
-0.989583	0.989583	1
-0.989583	0.989583	1
1	1	1
1	1	1
-0.989583	0.989583	1
-0.989583	0.989583	1
1	1	1
1	1	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-0.989583	0.989583	1
-0.989583	0.989583	1
0.989583	0.989583	1
0.989583	0.989583	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-1	1	1
-1	1	1
0.989583	0.989583	1
0.989583	0.989583	1
-0.989583	0.989583	1
-0.989583	0.989583	1
0.979167	0.979167	1
0.979167	0.979167	1
-0.989583	0.989583	1
-0.989583	0.989583	1
0.96875	0.96875	1
0.96875	0.96875	1
-0.989583	0.989583	1
-0.989583	0.989583	1
1	1	1
1	1	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-0.989583	0.989583	1
-0.989583	0.989583	1
1	1	1
1	1	1
-1	1	1
-1	1	1
0.989583	0.989583	1
0.989583	0.989583	1
-1	1	1
-1	1	1
0.989583	0.989583	1
0.989583	0.989583	1
-0.989583	0.989583	1
-0.989583	0.989583	1
1	1	1
1	1	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-1	1	1
-1	1	1
0.989583	0.989583	1
0.989583	0.989583	1
1	1	1
1	1	1
-0.989583	0.989583	1
-0.989583	0.989583	1
0.989583	0.989583	1
0.989583	0.989583	1
-1	1	1
-1	1	1
0.979167	0.979167	1
0.979167	0.979167	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-1	1	1
-1	1	1
0.989583	0.989583	1
0.989583	0.989583	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-1	1	1
-1	1	1
0.989583	0.989583	1
0.989583	0.989583	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-0.989583	0.989583	1
-0.989583	0.989583	1
1	1	1
1	1	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-1	1	1
-1	1	1
0.989583	0.989583	1
0.989583	0.989583	1
-0.979167	0.979167	1
-0.979167	0.979167	1
0.989583	0.989583	1
0.989583	0.989583	1
-1	1	1
-1	1	1
0.989583	0.989583	1
0.989583	0.989583	1
-1	1	1
-1	1	1
0.989583	0.989583	1
0.989583	0.989583	1
-1	1	1
-1	1	1
0.989583	0.989583	1
0.989583	0.989583	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-0.989583	0.989583	1
-0.989583	0.989583	1
1	1	1
1	1	1
-0.979167	0.979167	1
-0.979167	0.979167	1
1	1	1
1	1	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-0.979167	0.979167	1
-0.979167	0.979167	1
1	1	1
1	1	1
-1	1	1
-1	1	1
0.979167	0.979167	1
0.979167	0.979167	1
-0.989583	0.989583	1
-0.989583	0.989583	1
1	1	1
1	1	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-0.989583	0.989583	1
-0.989583	0.989583	1
0.979167	0.979167	1
0.979167	0.979167	1
-1	1	1
-1	1	1
0.989583	0.989583	1
0.989583	0.989583	1
-1	1	1
-1	1	1
0.989583	0.989583	1
0.989583	0.989583	1
-0.989583	0.989583	1
-0.989583	0.989583	1
1	1	1
1	1	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-0.989583	0.989583	1
-0.989583	0.989583	1
0.979167	0.979167	1
0.979167	0.979167	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-1	1	1
-1	1	1
0.989583	0.989583	1
0.989583	0.989583	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-0.979167	0.979167	1
-0.979167	0.979167	1
1	1	1
1	1	1
-0.989583	0.989583	1
-0.989583	0.989583	1
1	1	1
1	1	1
-1	1	1
-1	1	1
0.989583	0.989583	1
0.989583	0.989583	1
-1	1	1
-1	1	1
0.989583	0.989583	1
0.989583	0.989583	1
-1	1	1
-1	1	1
0.989583	0.989583	1
0.989583	0.989583	1
-0.979167	0.979167	1
-0.979167	0.979167	1
1	1	1
1	1	1
-0.989583	0.989583	1
-0.989583	0.989583	1
0.989583	0.989583	1
0.989583	0.989583	1
-1	1	1
-1	1	1
0.989583	0.989583	1
0.989583	0.989583	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-1	1	1
-1	1	1
0.979167	0.979167	1
0.979167	0.979167	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-1	1	1
-1	1	1
0.96875	0.96875	1
0.96875	0.96875	1
-1	1	1
-1	1	1
0.979167	0.979167	1
0.979167	0.979167	1
-0.989583	0.989583	1
-0.989583	0.989583	1
1	1	1
1	1	1
-0.989583	0.989583	1
-0.989583	0.989583	1
1	1	1
1	1	1
-0.989583	0.989583	1
-0.989583	0.989583	1
0.96875	0.96875	1
0.96875	0.96875	1
-1	1	1
-1	1	1
0.989583	0.989583	1
0.989583	0.989583	1
-1	1	1
-1	1	1
0.989583	0.989583	1
0.989583	0.989583	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-0.989583	0.989583	1
-0.989583	0.989583	1
0.989583	0.989583	1
0.989583	0.989583	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-1	1	1
-1	1	1
0.979167	0.979167	1
0.979167	0.979167	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-1	1	1
-1	1	1
0.989583	0.989583	1
0.989583	0.989583	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-1	1	1
-1	1	1
0.979167	0.979167	1
0.979167	0.979167	1
-1	1	1
-1	1	1
0.989583	0.989583	1
0.989583	0.989583	1
-0.958333	0.958333	1
-0.958333	0.958333	1
1	1	1
1	1	1
-1	1	1
-1	1	1
0.979167	0.979167	1
0.979167	0.979167	1
-1	1	1
-1	1	1
0.989583	0.989583	1
0.989583	0.989583	1
-1	1	1
-1	1	1
0.989583	0.989583	1
0.989583	0.989583	1
-1	1	1
-1	1	1
0.989583	0.989583	1
0.989583	0.989583	1
-0.989583	0.989583	1
-0.989583	0.989583	1
1	1	1
1	1	1
-1	1	1
-1	1	1
0.989583	0.989583	1
0.989583	0.989583	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-0.989583	0.989583	1
-0.989583	0.989583	1
1	1	1
1	1	1
-0.989583	0.989583	1
-0.989583	0.989583	1
1	1	1
1	1	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-1	1	1
-1	1	1
0.989583	0.989583	1
0.989583	0.989583	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-1	1	1
-1	1	1
0.989583	0.989583	1
0.989583	0.989583	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-1	1	1
-1	1	1
0.96875	0.96875	1
0.96875	0.96875	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-1	1	1
-1	1	1
0.989583	0.989583	1
0.989583	0.989583	1
-1	1	1
-1	1	1
0.989583	0.989583	1
0.989583	0.989583	1
-0.979167	0.979167	1
-0.979167	0.979167	1
1	1	1
1	1	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-0.989583	0.989583	1
-0.989583	0.989583	1
1	1	1
1	1	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-1	1	1
-1	1	1
0.989583	0.989583	1
0.989583	0.989583	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-1	1	1
-1	1	1
0.989583	0.989583	1
0.989583	0.989583	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-1	1	1
-1	1	1
0.989583	0.989583	1
0.989583	0.989583	1
-1	1	1
-1	1	1
0.96875	0.96875	1
0.96875	0.96875	1
-0.989583	0.989583	1
-0.989583	0.989583	1
-0.979167	0.979167	1
-0.979167	0.979167	1
1	1	1
1	1	1
-0.989583	0.989583	1
-0.989583	0.989583	1
1	1	1
1	1	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-0.979167	0.979167	1
-0.979167	0.979167	1
0.979167	0.979167	1
0.979167	0.979167	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-0.96875	0.96875	1
-0.96875	0.96875	1
0.989583	0.989583	1
0.989583	0.989583	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-0.96875	0.96875	1
-0.96875	0.96875	1
1	1	1
1	1	1
-1	1	1
-1	1	1
0.989583	0.989583	1
0.989583	0.989583	1
-0.989583	0.989583	1
-0.989583	0.989583	1
0.989583	0.989583	1
0.989583	0.989583	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-0.979167	0.979167	1
-0.979167	0.979167	1
1	1	1
1	1	1
-0.989583	0.989583	1
-0.989583	0.989583	1
0.96875	0.96875	1
0.96875	0.96875	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-1	1	1
-1	1	1
0.989583	0.989583	1
0.989583	0.989583	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-1	1	1
-1	1	1
0.979167	0.979167	1
0.979167	0.979167	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-1	1	1
-1	1	1
0.989583	0.989583	1
0.989583	0.989583	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-1	1	1
-1	1	1
0.989583	0.989583	1
0.989583	0.989583	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-1	1	1
-1	1	1
0.989583	0.989583	1
0.989583	0.989583	1
-0.96875	0.96875	1
-0.96875	0.96875	1
0.979167	0.979167	1
0.979167	0.979167	1
-1	1	1
-1	1	1
0.989583	0.989583	1
0.989583	0.989583	1
-0.989583	0.989583	1
-0.989583	0.989583	1
1	1	1
1	1	1
-1	1	1
-1	1	1
0.979167	0.979167	1
0.979167	0.979167	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-1	1	1
-1	1	1
0.989583	0.989583	1
0.989583	0.989583	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-1	1	1
-1	1	1
0.989583	0.989583	1
0.989583	0.989583	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-0.958333	0.958333	1
-0.958333	0.958333	1
0.989583	0.989583	1
0.989583	0.989583	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-0.979167	0.979167	1
-0.979167	0.979167	1
1	1	1
1	1	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-1	1	1
-1	1	1
0.989583	0.989583	1
0.989583	0.989583	1
-0.989583	0.989583	1
-0.989583	0.989583	1
0.989583	0.989583	1
0.989583	0.989583	1
-1	1	1
-1	1	1
0.989583	0.989583	1
0.989583	0.989583	1
-0.979167	0.979167	1
-0.979167	0.979167	1
1	1	1
1	1	1
-0.989583	0.989583	1
-0.989583	0.989583	1
1	1	1
1	1	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-0.989583	0.989583	1
-0.989583	0.989583	1
0.989583	0.989583	1
0.989583	0.989583	1
-0.979167	0.979167	1
-0.979167	0.979167	1
1	1	1
1	1	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-0.989583	0.989583	1
-0.989583	0.989583	1
0.989583	0.989583	1
0.989583	0.989583	1
-1	1	1
-1	1	1
0.989583	0.989583	1
0.989583	0.989583	1
-1	1	1
-1	1	1
0.989583	0.989583	1
0.989583	0.989583	1
-0.96875	0.96875	1
-0.96875	0.96875	1
1	1	1
1	1	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-0.989583	0.989583	1
-0.989583	0.989583	1
1	1	1
1	1	1
-0.989583	0.989583	1
-0.989583	0.989583	1
0.958333	0.958333	1
0.958333	0.958333	1
-0.989583	0.989583	1
-0.989583	0.989583	1
0.989583	0.989583	1
0.989583	0.989583	1
-1	1	1
-1	1	1
0.989583	0.989583	1
0.989583	0.989583	1
-1	1	1
-1	1	1
0.989583	0.989583	1
0.989583	0.989583	1
-1	1	1
-1	1	1
0.989583	0.989583	1
0.989583	0.989583	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-0.958333	0.958333	1
-0.958333	0.958333	1
0.989583	0.989583	1
0.989583	0.989583	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-1	1	1
-1	1	1
0.989583	0.989583	1
0.989583	0.989583	1
-1	1	1
-1	1	1
0.989583	0.989583	1
0.989583	0.989583	1
-1	1	1
-1	1	1
0.989583	0.989583	1
0.989583	0.989583	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-1	1	1
-1	1	1
0.989583	0.989583	1
0.989583	0.989583	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-0.989583	0.989583	1
-0.989583	0.989583	1
1	1	1
1	1	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-1	1	1
-1	1	1
0.989583	0.989583	1
0.989583	0.989583	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-1	1	1
-1	1	1
0.989583	0.989583	1
0.989583	0.989583	1
-0.989583	0.989583	1
-0.989583	0.989583	1
0.989583	0.989583	1
0.989583	0.989583	1
-0.96875	0.96875	1
-0.96875	0.96875	1
1	1	1
1	1	1
-1	1	1
-1	1	1
0.989583	0.989583	1
0.989583	0.989583	1
-0.989583	0.989583	1
-0.989583	0.989583	1
1	1	1
1	1	1
-0.979167	0.979167	1
-0.979167	0.979167	1
1	1	1
1	1	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-0.989583	0.989583	1
-0.989583	0.989583	1
1	1	1
1	1	1
-0.979167	0.979167	1
-0.979167	0.979167	1
1	1	1
1	1	1
-0.989583	0.989583	1
-0.989583	0.989583	1
0.989583	0.989583	1
0.989583	0.989583	1
-0.989583	0.989583	1
-0.989583	0.989583	1
1	1	1
1	1	1
-1	1	1
-1	1	1
0.989583	0.989583	1
0.989583	0.989583	1
-0.989583	0.989583	1
-0.989583	0.989583	1
0.979167	0.979167	1
0.979167	0.979167	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-0.979167	0.979167	1
-0.979167	0.979167	1
1	1	1
1	1	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-1	1	1
-1	1	1
0.979167	0.979167	1
0.979167	0.979167	1
-0.979167	0.979167	1
-0.979167	0.979167	1
1	1	1
1	1	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-0.989583	0.989583	1
-0.989583	0.989583	1
1	1	1
1	1	1
-0.989583	0.989583	1
-0.989583	0.989583	1
1	1	1
1	1	1
-0.979167	0.979167	1
-0.979167	0.979167	1
0.989583	0.989583	1
0.989583	0.989583	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-1	1	1
-1	1	1
0.979167	0.979167	1
0.979167	0.979167	1
-0.989583	0.989583	1
-0.989583	0.989583	1
1	1	1
1	1	1
-0.989583	0.989583	1
-0.989583	0.989583	1
1	1	1
1	1	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-0.979167	0.979167	1
-0.979167	0.979167	1
1	1	1
1	1	1
-0.958333	0.958333	1
-0.958333	0.958333	1
1	1	1
1	1	1
-0.989583	0.989583	1
-0.989583	0.989583	1
0.979167	0.979167	1
0.979167	0.979167	1
-1	1	1
-1	1	1
0.989583	0.989583	1
0.989583	0.989583	1
-0.989583	0.989583	1
-0.989583	0.989583	1
1	1	1
1	1	1
-0.989583	0.989583	1
-0.989583	0.989583	1
0.989583	0.989583	1
0.989583	0.989583	1
-0.979167	0.979167	1
-0.979167	0.979167	1
1	1	1
1	1	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-0.989583	0.989583	1
-0.989583	0.989583	1
0.989583	0.989583	1
0.989583	0.989583	1
-0.96875	0.96875	1
-0.96875	0.96875	1
0.989583	0.989583	1
0.989583	0.989583	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-0.979167	0.979167	1
-0.979167	0.979167	1
1	1	1
1	1	1
-0.989583	0.989583	1
-0.989583	0.989583	1
1	1	1
1	1	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-0.989583	0.989583	1
-0.989583	0.989583	1
0.989583	0.989583	1
0.989583	0.989583	1
-0.989583	0.989583	1
-0.989583	0.989583	1
0.989583	0.989583	1
0.989583	0.989583	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-0.989583	0.989583	1
-0.989583	0.989583	1
1	1	1
1	1	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-0.989583	0.989583	1
-0.989583	0.989583	1
0.989583	0.989583	1
0.989583	0.989583	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-0.989583	0.989583	1
-0.989583	0.989583	1
0.979167	0.979167	1
0.979167	0.979167	1
-0.979167	0.979167	1
-0.979167	0.979167	1
1	1	1
1	1	1
-0.989583	0.989583	1
-0.989583	0.989583	1
1	1	1
1	1	1
-1	1	1
-1	1	1
0.989583	0.989583	1
0.989583	0.989583	1
-0.989583	0.989583	1
-0.989583	0.989583	1
1	1	1
1	1	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-1	1	1
-1	1	1
0.979167	0.979167	1
0.979167	0.979167	1
-0.989583	0.989583	1
-0.989583	0.989583	1
0.989583	0.989583	1
0.989583	0.989583	1
-1	1	1
-1	1	1
1	1	1
1	1	1
-0.989583	0.989583	1
-0.989583	0.989583	1
0.989583	0.989583	1
0.989583	0.989583	1
-0.989583	0.989583	1
-0.989583	0.989583	1
0.989583	0.989583	1
0.989583	0.989583	1
-0.989583	0.989583	1
-0.989583	0.989583	1
0.989583	0.989583	1
0.989583	0.989583	1
-0.989583	0.989583	1
